critic,review,date
Kevin A. Ranson,"By the time the film ends... we see our heroes Shrek and Fiona exhausted and asleep, the perfect metaphor for how much juice is actually left in this concept.","May 22, 2007"
Richard Roeper,This is the most visually impressive Shrek yet. It's also the least inspired.,"May 21, 2007"
Mark Sells,"Maturing all too quickly into adulthood, Shrek the Third, is over burdened with responsibility and a yearning for simpler, carefree times.","May 21, 2007"
Michelle Alexandria,"This has clearly become a paycheck film for all those involved. There's no energy in any of the voice acting, the jokes are stale, it's film making by committee at it's worst.","May 21, 2007"
David Denby,"The plot material isn't as strong as in the first two movies -- if anything, it feels a bit desperate -- but the anti-Disney joke blunderbuss remains in good working order.","May 21, 2007"
Russ Breimeier,Time to put this fairy tale to bed while it's still good and let Shrek save some face.,"May 21, 2007"
Pete Hammond,"Green isn't just the color of ogres. It also represents the cold hard cash studio execs can again expect to reap, no matter how often they repeat the same basic joke.","May 21, 2007"
Mark Ramsey,"Predictably, 'Shrek: The Musical' will be Broadway-bound next year. And just as predictably, 'Grindhouse: The Musical' will not be.","May 21, 2007"
Eric Melin,"Shrek standing up for himself means insisting that he is not King material, despite the fact that everyone around him believes he'd be a great leader.","May 21, 2007"
John P. McCarthy,"Compared to the relentless cheek (remember Pinocchio's red thong?) of 'Shrek 2,' this entertaining third film is more modest, kind, and organic.","May 21, 2007"
Gary Brown,"While there are lots of funny moments, the smartness and wit of Shrek the Third seems to be missing a fifth gear.","May 21, 2007"
Kam Williams,"Enough projectile vomit, fart and poop jokes to keep kids of any age enthralled for ninety-minutes.","May 21, 2007"
David Poland,"I can't say that it hurt to watch. Truth is, it was so nothing that it inspired no feelings at all%u2026 other than disappointment.","May 20, 2007"
Karina Montgomery,"May 20, 2007",
David Cornelius,"Parents will be left wondering why all the laughs, the snarky wit, and the gentle joys of the series had to go so far, far away.","May 20, 2007"
Mike McGranaghan,There is good news and bad news about Shrek the Third. The bad news is that it isn't on the same level as the first two. The good news is that it still gets enough right to be well worth a look.,"May 20, 2007"
Diana Saenger,"Shrek the Third, lacks everything that made the first two Shreks so entertaining.","May 19, 2007"
Laura Clifford,...we're treated to Pinocchio treading the minefield of interrogation...and the Gingerbread Man seeing his life flash in front of his eyes...It's those fine supporting character moments that occasionally make it soar.,"May 19, 2007"
Christopher Smith,"Sorry, but what a piece of ""Shrek.""","May 19, 2007"
Michael A. Smith,"The best ""Shrek"" of them all!","May 19, 2007"
Tasha Robinson,"Sequels usually follow the rubric 'same thing as last time, but more.' Shrek The Third instead goes for less: fewer jokes, less energy, and toned-down characters reiterating old banter, as if from a half-finished outline of a script.","May 19, 2007"
David Fear,"Kids craving a safe summer-film sugar rush won't care much, though adult fans are bound to wish upon a star for something besides another animated feature running on autopilot.","May 19, 2007"
Kit Bowen,"Shrek the Third pretty much serves up the same tired fairytale shenanigans with little of the original's magic. Still, the franchise's undeniable charm alleviates some of the Third 's banality.","May 19, 2007"
Stephanie Zacharek,"Feels sluggish and tired; its relentless, not-so-great gags hit with the soft thud of stone-hard bread crumbs.","May 19, 2007"
